Nombre;ROA2024
PROYECTARENOVABLES CONTROL SL.;8,07
CLO VIRTUAL FASHION SPAIN SL.;4,59
DIVILO FINTECH SL.;-70,07
SAGE SPAIN HOLDCO SL.;2,45
BOOK YOUR STADIUM SL.;-51,04
BUENCOCO S.L.;-182,32
MAMUT LOGISTICS SL.;15,55
EURODONA SUR SL.;39,53
METALCASTI RF SL.;5,74
RECADOS CARMEN SOCIEDAD LIMITADA.;26,02
MED-IT EUROPE S.L.;33,69
AVANTIAM SOFTWARE SOCIEDAD LIMITADA.;20,01
NAVIS SOFTWARE SPAIN SL.;11,25
INFINITUM HUB SOCIEDAD LIMITADA.;0,61
EC HOLAHOME S.L.;29,31
PAGONXT PAYMENTS SL.;-1,18
BOOKLINE SOLUTIONS S.L.;-69,15
UNICO STAR EUROPA SL.;1,51
AQUIENMADRUGA SL.;2,83
BEYOND TEAL S.L.;3,38
HEVY STUDIOS S.L.;5,1
SANIDAD AMBIENTAL Y SOLUCIONES TECNICAS PARA LA INFRAESTRUCTURA SOCIEDAD LIMITADA.;0,1
INFORMATICA ELECTRICIDAD Y MECANICA SOCIEDAD LIMITADA.;48,86
540 TECH CONSULTING SL;22,51
BEYOND TECHNOLOGY EUROPE S.L.;11,87
WAYOPS CONSULTING SL.;2,39
N WORLD ZONA NORTE SOCIEDAD LIMITADA.;37,26
SOLIDCAM HIGH END MACHINING SPAIN S.L.;2,4
ADOPTAMOSTUCOCHE SOCIEDAD LIMITADA.;7,5
LEADERNET CORPORATION SL.;-3,92
INFOBAE ESPAÑA SL.;-11,36
BUSINESS TIC CONSULTORIA S.L.;18,16
ODOO ERP SP SL.;-0,53
THE WICK SOCIEDAD LIMITADA.;-15,99
VIRTUAL ZONE NEXUS SL.;-16,41
ALYARA TECHNOLOGIES S.L.;97,53
GRUPO VR SECTORES ESTRATEGICOS SL.;21,83
NOVAEXTERNA 3D SOCIEDAD LIMITADA.;58,58
FTR WASTEWATER RECYCLING AND REUSE SPECIALISTS S.L.;29,46
WEGRANT PLATFORM SL.;8,82
BLEXR BARCELONA S.L.;2,3
ODONSERTEC SL;32,44
MOONTECH INDUSTRIAL SOLUTIONS SOCIEDAD LIMITADA.;4,26
FATEN FACILITIES ENERGY TELECOM SL.;33,65
VISUAL ART SPAIN SL.;36,79
WOOLO COMUNICACIONES SL.;4,77
ROCK FLOW DYNAMICS SL.;7,09
